Voltage,Current,Data_Timestamp,dmm_v0,dmm_v1,dmm_v2,dmm_v3,dmm_t0,dmm_t1,dmm_t2,dmm_t3,dmm_t4,Log_Timestamp
8.37510575,0,1650243241,4.15274,8.35236,4.15024,8.34861,31.60967999,30.64448271,31.23257788,31.59275669,28.31580159,1650243242
8.21611704,-50.000267,1650243243,4.0715,8.18961,4.0715,8.1855,31.60967999,30.6786817,31.24107284,31.63099902,28.32037857,1650243244
8.20413048,-50.000332,1650243245,4.067,8.1795,4.06726,8.17611,31.61407955,30.68278468,31.23257788,31.63099902,28.30277327,1650243245
8.19760408,-50.000315,1650243246,4.06426,8.17275,4.06426,8.16975,31.6181405,30.64858729,31.23257788,31.63099902,28.28939047,1650243247
8.19379899,-50.000299,1650243247,4.0625,8.16936,4.063,8.16636,31.62253967,30.65713789,31.24107284,31.62253967,28.27635753,1650243247
8.18863607,-50.000307,1650243248,4.0605,8.1645,4.06076,8.1615,31.63099902,30.67423659,31.26213694,31.64351748,28.28516382,1650243248
8.18547372,-50.000322,1650243249,4.059,8.16111,4.05926,8.15811,31.63099902,30.6786817,31.24956701,31.64351748,28.29819522,1650243249
8.18106125,-50.000322,1650243250,4.05726,8.157,4.0575,8.154,31.6181405,30.65713789,31.25364393,31.63945762,28.26755021,1650243251
8.17437476,-50.000299,1650243252,4.0545,8.15061,4.05476,8.14761,31.62253967,30.65303371,31.21966403,31.65197495,28.30699892,1650243253
8.168333,-50.000339,1650243254,4.052,8.14461,4.05226,8.14161,31.62660025,30.6701332,31.24515014,31.65637254,28.32917967,1650243255
8.16605643,-50.000387,1650243255,4.051,8.14236,4.05126,8.13975,31.63099902,30.64448271,31.23257788,31.64791546,28.32037857,1650243255
8.16278298,-50.000465,1650243256,4.04976,8.139,4.05,8.136,31.62253967,30.67423659,31.24515014,31.64351748,28.31580159,1650243257
8.15763341,-50.000482,1650243258,4.0475,8.13411,4.048,8.1315,31.64791546,30.64858729,31.23665556,31.66482887,28.29396907,1650243259
8.15281875,-50.000427,1650243260,4.0455,8.12961,4.046,8.12661,31.63099902,30.64448271,31.21966403,31.65197495,28.29819522,1650243261
8.14828355,-50.000442,1650243262,4.04376,8.12511,4.044,8.12211,31.63945762,30.64858729,31.21116708,31.66888764,28.28939047,1650243263
8.14399843,-50.000427,1650243264,4.042,8.12061,4.04226,8.118,31.63099902,30.64003586,31.22816019,31.66043167,28.31157644,1650243265
8.1407183,-50.000435,1650243266,4.04076,8.118,4.041,8.115,31.64351748,30.63148359,31.24515014,31.67328444,28.33797972,1650243266
8.13834563,-50.00045,1650243267,4.0395,8.115,4.04,8.11236,31.61407955,30.63593087,31.22408213,31.66043167,28.34220338,1650243268
8.13453576,-50.000435,1650243269,4.03776,8.11125,4.03826,8.10861,31.63945762,30.61882469,31.22816019,31.67734284,28.34220338,1650243270
8.13089405,-50.000395,1650243271,4.0365,8.10786,4.03676,8.10525,31.63099902,30.6273782,31.22408213,31.67328444,28.35100191,1650243272
8.1294794,-50.00045,1650243272,4.036,8.10636,4.0365,8.10375,31.64791546,30.63593087,31.23257788,31.68173925,28.3597994,1650243272
8.12740304,-50.00049,1650243273,4.035,8.1045,4.0355,8.10186,31.63099902,30.64448271,31.24515014,31.69019331,28.36859586,1650243274
8.12604384,-50.00045,1650243274,4.0345,8.10336,4.035,8.10075,31.65197495,30.64448271,31.23257788,31.68579729,28.36437369,1650243274
8.12405476,-50.000482,1650243275,4.03376,8.10111,4.034,8.0985,31.63505925,30.62293048,31.23257788,31.66043167,28.37739128,1650243276
8.12274946,-50.000442,1650243276,4.033,8.09961,4.0335,8.097,31.63945762,30.63148359,31.21558559,31.66482887,28.3597994,1650243276
8.12083373,-50.000458,1650243277,4.0325,8.09775,4.03276,8.09511,31.64351748,30.63148359,31.25364393,31.68579729,28.36437369,1650243278
8.1177305,-50.000475,1650243279,4.03126,8.09511,4.0315,8.09211,31.64351748,30.63593087,31.20266934,31.69019331,28.35557673,1650243280
8.11473612,-50.00041,1650243281,4.03,8.09211,4.03026,8.08911,31.66043167,30.64448271,31.23257788,31.67328444,28.38618568,1650243282
8.11184863,-50.000482,1650243283,4.02876,8.08911,4.02926,8.0865,31.64351748,30.62293048,31.23257788,31.67328444,28.37739128,1650243284
8.1090538,-50.000475,1650243285,4.02776,8.0865,4.028,8.0835,31.65197495,30.60582175,31.20708826,31.70270393,28.39075836,1650243286
8.10635124,-50.000522,1650243287,4.0265,8.08386,4.027,8.08086,31.66482887,30.61437653,31.24107284,31.69425099,28.36859586,1650243288
8.10425248,-50.000482,1650243289,4.0255,8.08161,4.02626,8.079,31.64351748,30.61437653,31.22816019,31.68579729,28.34677875,1650243289
8.1027085,-50.000538,1650243290,4.025,8.08011,4.0255,8.0775,31.65637254,30.61027034,31.23665556,31.70270393,28.33797972,1650243291
