Voltage,Current,Data_Timestamp,dmm_v0,dmm_v1,dmm_v2,dmm_v3,dmm_t0,dmm_t1,dmm_t2,dmm_t3,dmm_t4,Log_Timestamp
8.37577307,0,1650130719,4.17124,8.35311,4.16874,8.349,31.38943793,31.19417081,30.97735903,30.75113953,28.45650379,1650130720
8.22042507,-49.999916,1650130721,4.0905,8.19186,4.0905,8.1885,31.38943793,31.19417081,30.98587796,30.7299552,28.46528894,1650130721
8.20897766,-49.999994,1650130722,4.086,8.18286,4.086,8.17986,31.42776358,31.19859014,31.00700142,30.75968015,28.48742297,1650130723
8.20370229,-49.999994,1650130723,4.08376,8.17875,4.084,8.17575,31.40639814,31.19859014,30.99439609,30.74703973,28.46107219,1650130723
8.19713398,-50.000004,1650130724,4.081,8.17236,4.081,8.16936,31.39791842,31.21558559,30.98587796,30.72551268,28.44771762,1650130725
8.19329264,-49.999931,1650130725,4.079,8.169,4.07926,8.16561,31.41080728,31.21966403,31.01142991,30.73849788,28.43471221,1650130725
8.18809133,-50.000051,1650130726,4.07676,8.16375,4.07676,8.16036,31.41080728,31.22408213,30.98587796,30.73405579,28.43893042,1650130727
8.18044964,-50.000074,1650130728,4.07326,8.15625,4.0735,8.15361,31.38943793,31.21966403,30.98996676,30.73405579,28.46107219,1650130729
8.17766216,-49.99983,1650130729,4.07176,8.15361,4.072,8.15061,31.40232797,31.22408213,30.99439609,30.7214117,28.46107219,1650130730
8.17370553,-50.000147,1650130730,4.06976,8.14986,4.07026,8.14686,31.40639814,31.21116708,30.98996676,30.72551268,28.45228656,1650130731
8.16760954,-50.000185,1650130732,4.067,8.14386,4.06726,8.14086,31.39791842,31.22816019,30.98144822,30.74259807,28.46107219,1650130733
8.16532098,-50.000212,1650130733,4.06626,8.142,4.0665,8.13936,31.42776358,31.23257788,30.98996676,30.73405579,28.44349989,1650130733
8.1620175,-50.000219,1650130734,4.0645,8.13861,4.06476,8.13525,31.44471677,31.24107284,30.98587796,30.71286736,28.46107219,1650130735
8.15683162,-50.000194,1650130736,4.06226,8.13336,4.0625,8.13036,31.41928582,31.22816019,30.98996676,30.7214117,28.45228656,1650130737
8.15197111,-50.000162,1650130738,4.05976,8.1285,4.06,8.12586,31.44030924,31.23665556,30.98587796,30.72551268,28.46985681,1650130739
8.14829978,-50.000107,1650130740,4.05826,8.12511,4.0585,8.1225,31.43624056,31.21966403,30.97292887,30.72551268,28.47407306,1650130740
8.14565011,-50.000147,1650130741,4.057,8.1225,4.05726,8.1195,31.43624056,31.24107284,30.98587796,30.7299552,28.44349989,1650130742
8.1439276,-50.000212,1650130742,4.05626,8.121,4.0565,8.118,31.42776358,31.22816019,30.98587796,30.70432219,28.44771762,1650130742
8.141425,-50.000219,1650130743,4.05476,8.118,4.055,8.11536,31.44471677,31.24107284,30.99439609,30.72551268,28.45228656,1650130743
8.13979178,-50.000177,1650130744,4.05426,8.1165,4.0545,8.11386,31.44030924,31.24515014,31.0029134,30.71286736,28.46985681,1650130744
8.13740258,-50.000227,1650130745,4.053,8.11425,4.05326,8.11161,31.44030924,31.22408213,30.98144822,30.70432219,28.43471221,1650130746
8.1358445,-50.000299,1650130746,4.05226,8.11275,4.0525,8.10975,31.45319221,31.24515014,30.99439609,30.70432219,28.44349989,1650130746
8.13356602,-50.000244,1650130747,4.05126,8.1105,4.0515,8.1075,31.44878508,31.24107284,30.98587796,30.71696875,28.44771762,1650130748
8.13208186,-50.000259,1650130748,4.05076,8.10936,4.051,8.10636,31.45319221,31.23257788,30.98587796,30.71696875,28.43471221,1650130748
8.12990354,-50.000234,1650130749,4.0495,8.10675,4.05,8.10411,31.45726015,31.24515014,30.97292887,30.69987838,28.42592349,1650130750
8.1284786,-50.000194,1650130750,4.049,8.10561,4.04926,8.10261,31.44030924,31.24515014,30.98996676,30.70842398,28.43893042,1650130750
8.12638918,-50.000252,1650130751,4.048,8.10336,4.04826,8.10075,31.44878508,31.26213694,31.0029134,30.7214117,28.44349989,1650130752
8.1250284,-50.00013,1650130752,4.04726,8.10186,4.0475,8.09925,31.45319221,31.27062916,30.99439609,30.69987838,28.43471221,1650130752
8.1230268,-50.000099,1650130753,4.04626,8.1,4.04676,8.097,31.44030924,31.2580604,30.98996676,30.70842398,28.43893042,1650130754
8.11978556,-50.000162,1650130755,4.045,8.097,4.04526,8.094,31.45319221,31.2580604,30.99439609,30.71286736,28.45650379,1650130756
8.11666295,-50.000185,1650130757,4.0435,8.09361,4.04376,8.091,31.46166688,31.25364393,30.9984845,30.70432219,28.44349989,1650130758
8.11365179,-50.00017,1650130759,4.042,8.09061,4.04226,8.088,31.44030924,31.21116708,30.95588774,30.70842398,28.41256268,1650130760
8.11248201,-50.000219,1650130760,4.0415,8.0895,4.04176,8.08686,31.44878508,31.24107284,30.96883929,30.6786817,28.4301422,1650130760
8.11075157,-50.000219,1650130761,4.04076,8.088,4.041,8.08536,31.42776358,31.20708826,30.96883929,30.69133195,28.41713375,1650130762
8.10849715,-50.000202,1650130763,4.03976,8.08611,4.04,8.08311,31.43183263,31.22408213,30.96883929,30.6786817,28.41256268,1650130763
8.10684681,-50.000154,1650130764,4.039,8.08425,4.03926,8.08161,31.43183263,31.24515014,30.94736595,30.6786817,28.39075836,1650130764
8.10576811,-50.000147,1650130765,4.03826,8.08311,4.03876,8.08011,31.44030924,31.22816019,30.96883929,30.67423659,28.42592349,1650130765
8.10416747,-50.000194,1650130766,4.0375,8.08161,4.038,8.07861,31.44471677,31.25364393,30.96883929,30.69577619,28.4301422,1650130767
8.10312177,-50.000177,1650130767,4.03726,8.0805,4.0375,8.0775,31.43624056,31.23257788,30.97735903,30.69133195,28.42592349,1650130767
8.10157196,-50.000194,1650130768,4.0365,8.07861,4.03676,8.07636,31.45726015,31.22816019,30.98144822,30.68722936,28.42135295,1650130769
8.09905345,-50.000219,1650130770,4.03526,8.07636,4.0355,8.07336,31.42335524,31.24956701,30.98996676,30.65713789,28.39955118,1650130771
8.09661051,-50.000212,1650130772,4.034,8.07375,4.0345,8.07111,31.45319221,31.24956701,30.96883929,30.68278468,28.39955118,1650130773
8.09423507,-50.000194,1650130774,4.033,8.0715,4.03326,8.06886,31.45319221,31.25364393,30.96883929,30.65303371,28.39955118,1650130775
8.09330328,-50.000212,1650130775,4.0325,8.07075,4.033,8.06811,31.47014077,31.26655299,30.98587796,30.69133195,28.4301422,1650130775
8.09192962,-50.000299,1650130776,4.032,8.06925,4.03226,8.06661,31.48268072,31.26213694,30.98996676,30.71286736,28.4301422,1650130777
8.08968469,-50.00017,1650130778,4.031,8.067,4.03126,8.06436,31.48708625,31.26213694,30.98996676,30.68722936,28.41713375,1650130779
8.08750609,-50.000219,1650130780,4.03,8.06511,4.03026,8.06211,31.49115271,31.27912059,30.98587796,30.68278468,28.38618568,1650130781
8.08664418,-50.000252,1650130781,4.0295,8.064,4.03,8.06136,31.48268072,31.26655299,31.0029134,30.68722936,28.4301422,1650130781
8.0853778,-50.000177,1650130782,4.029,8.06286,4.0295,8.05986,31.49115271,31.27062916,30.99439609,30.70432219,28.42135295,1650130783
8.08330861,-50.000177,1650130784,4.028,8.061,4.02826,8.058,31.4786139,31.28353582,30.98144822,30.68722936,28.42135295,1650130785
8.08168676,-50.000122,1650130786,4.02726,8.05911,4.02776,8.05686,31.48708625,31.2750448,30.97292887,30.69133195,28.40377137,1650130786
8.08048876,-50.000227,1650130787,4.02676,8.058,4.027,8.05536,31.48708625,31.2961011,30.99439609,30.68722936,28.41713375,1650130788
8.07969952,-50.000074,1650130788,4.0265,8.05725,4.02676,8.05461,31.48708625,31.2750448,30.98144822,30.67423659,28.40377137,1650130788
8.07853739,-50.000162,1650130789,4.02576,8.05611,4.02626,8.0535,31.4786139,31.2750448,30.98996676,30.68278468,28.40834298,1650130790
8.07776935,-50.000194,1650130790,4.0255,8.05536,4.026,8.05275,31.46573445,31.27912059,30.96883929,30.71696875,28.41713375,1650130790
8.07663662,-50.000212,1650130791,4.025,8.05425,4.02526,8.05161,31.49115271,31.27912059,30.98587796,30.68722936,28.40377137,1650130792
8.07477134,-50.000252,1650130793,4.024,8.05236,4.0245,8.04975,31.48268072,31.28353582,30.99439609,30.69133195,28.39497904,1650130794
8.07295072,-50.000202,1650130795,4.02326,8.0505,4.02376,8.04786,31.48708625,31.28353582,31.0029134,30.69577619,28.40377137,1650130796
8.07223979,-50.000202,1650130796,4.023,8.04975,4.02326,8.0475,31.48268072,31.27912059,31.00700142,30.69987838,28.39497904,1650130796
8.07117459,-50.000212,1650130797,4.0225,8.049,4.02276,8.046,31.50809437,31.30051551,30.98996676,30.68722936,28.39955118,1650130798
8.06943727,-50.000177,1650130799,4.02176,8.04711,4.022,8.0445,31.49115271,31.2961011,30.99439609,30.70842398,28.40377137,1650130800
8.06875238,-50.000212,1650130800,4.0215,8.04636,4.02176,8.04375,31.50402865,31.30459017,31.01994561,30.68722936,28.39955118,1650130800
8.06773285,-50.000244,1650130801,4.021,8.04525,4.02126,8.04261,31.5124987,31.29202606,30.9984845,30.70842398,28.40377137,1650130802
8.06606362,-50.000299,1650130803,4.02,8.04375,4.0205,8.04111,31.49115271,31.2961011,31.00700142,30.69577619,28.41256268,1650130804
8.06443635,-50.000185,1650130805,4.01926,8.04186,4.01976,8.03961,31.49115271,31.2961011,31.01994561,30.68278468,28.42135295,1650130806
