Voltage,Current,Data_Timestamp,dmm_v0,dmm_v1,dmm_v2,dmm_v3,dmm_t0,dmm_t1,dmm_t2,dmm_t3,dmm_t4,Log_Timestamp
8.37473869,0,1650434684,4.145,8.352,4.1425,8.34825,30.48185409,29.88001373,30.68278468,30.66158387,27.43917056,1650434684
8.21047869,-50.000418,1650434686,4.063,8.18361,4.06326,8.1795,30.52022765,29.87138469,30.65303371,30.63148359,27.43026105,1650434687
8.19575767,-50.000601,1650434688,4.05776,8.17086,4.058,8.16711,30.49898725,29.86689723,30.65713789,30.66158387,27.43917056,1650434689
8.18752747,-50.000418,1650434690,4.05476,8.16375,4.05526,8.16036,30.5116636,29.84963551,30.67423659,30.67423659,27.44807895,1650434690
8.18223647,-50.000482,1650434691,4.05276,8.15811,4.05276,8.15475,30.51611701,29.86689723,30.66568766,30.67423659,27.41707292,1650434691
8.17899414,-50.00053,1650434692,4.0515,8.15475,4.0515,8.15136,30.5030987,29.84549216,30.66158387,30.6701332,27.44380306,1650434692
8.17446568,-50.000561,1650434693,4.0495,8.15025,4.04976,8.14725,30.49453295,29.84963551,30.69133195,30.67423659,27.43026105,1650434693
8.1716327,-50.000355,1650434694,4.0485,8.14761,4.04876,8.14425,30.52022765,29.84963551,30.6786817,30.65713789,27.43026105,1650434694
8.16761348,-50.000625,1650434695,4.047,8.14386,4.04726,8.1405,30.49898725,29.8541239,30.66158387,30.67423659,27.43026105,1650434695
8.16506775,-50.000593,1650434696,4.046,8.14086,4.04626,8.13786,30.49898725,29.84100329,30.66568766,30.66158387,27.39924721,1650434696
8.16142054,-50.000608,1650434697,4.0445,8.13786,4.045,8.1345,30.5116636,29.8541239,30.68278468,30.68278468,27.41243867,1650434698
8.15573541,-50.000578,1650434699,4.04226,8.13225,4.04276,8.12886,30.50755255,29.8541239,30.69133195,30.67423659,27.40816062,1650434699
8.15358046,-50.000633,1650434700,4.0415,8.13036,4.04176,8.127,30.52022765,29.8541239,30.67423659,30.69133195,27.41243867,1650434700
8.15046115,-50.00057,1650434701,4.0405,8.127,4.04076,8.12361,30.49042109,29.8541239,30.6786817,30.67423659,27.41243867,1650434702
8.14552974,-50.000656,1650434703,4.0385,8.12211,4.0385,8.11875,30.5116636,29.84963551,30.69577619,30.68722936,27.43917056,1650434704
8.14089024,-50.000746,1650434705,4.0365,8.11761,4.037,8.11425,30.5030987,29.84549216,30.68722936,30.68278468,27.40816062,1650434706
8.13650054,-50.000593,1650434707,4.035,8.11311,4.03526,8.11011,30.48185409,29.81959151,30.69577619,30.69133195,27.42598409,1650434708
8.13233536,-50.000667,1650434709,4.03326,8.10936,4.03376,8.106,30.5030987,29.84549216,30.69577619,30.6786817,27.41707292,1650434710
8.12836795,-50.000746,1650434711,4.03176,8.10525,4.032,8.10186,30.5116636,29.83237018,30.69133195,30.68722936,27.43917056,1650434712
8.12532299,-50.000793,1650434713,4.03076,8.10261,4.031,8.09925,30.49898725,29.82373616,30.71696875,30.71696875,27.42598409,1650434713
8.12310819,-50.000778,1650434714,4.02976,8.1,4.03026,8.097,30.52022765,29.81959151,30.69987838,30.69133195,27.43917056,1650434714
8.12166076,-50.000738,1650434715,4.02926,8.09886,4.0295,8.0955,30.5030987,29.82822596,30.69577619,30.71286736,27.40816062,1650434715
8.11954106,-50.00069,1650434716,4.0285,8.09661,4.029,8.09361,30.51611701,29.84549216,30.71696875,30.68722936,27.43026105,1650434716
8.11816072,-50.000707,1650434717,4.028,8.09511,4.02826,8.09211,30.5030987,29.81095615,30.70432219,30.69987838,27.43489414,1650434717
8.11612048,-50.000683,1650434718,4.02726,8.09325,4.0275,8.09025,30.49898725,29.83237018,30.70842398,30.70842398,27.42598409,1650434718
8.11479362,-50.000656,1650434719,4.02676,8.09175,4.027,8.08875,30.52022765,29.84549216,30.71696875,30.71286736,27.43489414,1650434719
8.11283131,-50.000683,1650434720,4.026,8.08986,4.02626,8.08686,30.49898725,29.83685951,30.71696875,30.7214117,27.43489414,1650434720
8.11154997,-50.000698,1650434721,4.0255,8.08875,4.02576,8.08536,30.52468062,29.84963551,30.7214117,30.69987838,27.43026105,1650434721
8.10966476,-50.000755,1650434722,4.02476,8.08686,4.02526,8.08386,30.52022765,29.82822596,30.72551268,30.70842398,27.43917056,1650434722
8.10843143,-50.000707,1650434723,4.02426,8.08575,4.02476,8.08236,30.5030987,29.82822596,30.71286736,30.71696875,27.42135042,1650434723
8.10661165,-50.000667,1650434724,4.0235,8.08386,4.02376,8.08086,30.52022765,29.83237018,30.71696875,30.70842398,27.43026105,1650434724
8.10542257,-50.000746,1650434725,4.02326,8.08236,4.0235,8.07975,30.52022765,29.82822596,30.7214117,30.7214117,27.43917056,1650434725
8.10366621,-50.000778,1650434726,4.0225,8.08086,4.023,8.07786,30.5116636,29.81959151,30.72551268,30.7214117,27.42598409,1650434727
8.10081499,-50.000866,1650434728,4.0215,8.07825,4.02176,8.07486,30.50755255,29.83685951,30.75113953,30.7214117,27.43489414,1650434728
8.09970205,-50.000715,1650434729,4.021,8.07711,4.0215,8.07411,30.52468062,29.83685951,30.74703973,30.73849788,27.43026105,1650434729
8.09806052,-50.000738,1650434730,4.0205,8.07525,4.021,8.07225,30.52468062,29.81510124,30.73849788,30.7299552,27.42135042,1650434730
8.0969809,-50.000746,1650434731,4.02,8.0745,4.0205,8.07111,30.53324339,29.83237018,30.73405579,30.73849788,27.42135042,1650434731
8.09539012,-50.000778,1650434732,4.0195,8.07261,4.02,8.06961,30.52879085,29.83237018,30.74259807,30.75113953,27.40352579,1650434732
8.09434609,-50.000715,1650434733,4.019,8.07186,4.0195,8.0685,30.52468062,29.82822596,30.74259807,30.74703973,27.41243867,1650434733
8.09280344,-50.000738,1650434734,4.0185,8.07036,4.019,8.067,30.52879085,29.82373616,30.75968015,30.73849788,27.43917056,1650434735
8.09078734,-50.000755,1650434736,4.01776,8.0685,4.01826,8.06511,30.52468062,29.81959151,30.75113953,30.7299552,27.42598409,1650434736
8.0893123,-50.000618,1650434737,4.01726,8.06661,4.01776,8.06361,30.54180531,29.84100329,30.76821995,30.73405579,27.42135042,1650434737
8.08834166,-50.000723,1650434738,4.017,8.0655,4.01726,8.0625,30.53324339,29.82822596,30.75558075,30.74703973,27.40816062,1650434738
8.08690338,-50.000683,1650434739,4.01626,8.06436,4.01676,8.06136,30.51611701,29.81959151,30.75968015,30.73849788,27.41707292,1650434739
8.08595669,-50.000698,1650434740,4.016,8.06361,4.0165,8.06025,30.52468062,29.79782868,30.75113953,30.73849788,27.42135042,1650434740
8.08455998,-50.000738,1650434741,4.0155,8.06211,4.016,8.05875,30.52879085,29.82822596,30.75113953,30.74703973,27.44380306,1650434742
8.0822878,-50.000601,1650434743,4.01476,8.05986,4.015,8.05686,30.53735322,29.82822596,30.75558075,30.75968015,27.42135042,1650434744
8.0800662,-50.000667,1650434745,4.014,8.05761,4.01426,8.05461,30.51611701,29.82373616,30.75113953,30.74703973,27.43489414,1650434746
8.07790577,-50.000648,1650434747,4.013,8.05536,4.0135,8.05236,30.54180531,29.82822596,30.76821995,30.74259807,27.42598409,1650434747
8.07706505,-50.000698,1650434748,4.01276,8.05461,4.01326,8.05161,30.54591473,29.82373616,30.75558075,30.75113953,27.41707292,1650434748
8.07580653,-50.000763,1650434749,4.01226,8.0535,4.01276,8.05011,30.51611701,29.81959151,30.75113953,30.76821995,27.41243867,1650434749
8.07498012,-50.000608,1650434750,4.012,8.05236,4.0125,8.04936,30.52468062,29.83685951,30.75558075,30.74703973,27.41707292,1650434750
8.07375733,-50.000641,1650434751,4.0115,8.05125,4.012,8.04825,30.53324339,29.81095615,30.75968015,30.74259807,27.40352579,1650434752
8.07175503,-50.000723,1650434753,4.01076,8.04936,4.01126,8.04636,30.53735322,29.82822596,30.75968015,30.75968015,27.43917056,1650434754
8.06980119,-50.000656,1650434755,4.01,8.0475,4.0105,8.0445,30.54180531,29.82373616,30.78119886,30.77266032,27.44380306,1650434756
8.06827187,-50.000723,1650434757,4.0095,8.046,4.01,8.043,30.52879085,29.81510124,30.75558075,30.77266032,27.43489414,1650434757
8.06714145,-50.000955,1650434758,4.00926,8.04486,4.0095,8.04186,30.53324339,29.82373616,30.76821995,30.76821995,27.42135042,1650434758
8.06639729,-50.000907,1650434759,4.009,8.04411,4.0095,8.04111,30.52022765,29.81959151,30.79383439,30.76412095,27.44380306,1650434759
8.06529902,-50.000667,1650434760,4.0085,8.043,4.009,8.04,30.54180531,29.81510124,30.77675892,30.75558075,27.40816062,1650434760
8.06457271,-50.000715,1650434761,4.00826,8.04225,4.00876,8.03925,30.51611701,29.80646541,30.79827347,30.77675892,27.41707292,1650434761
8.06349072,-50.000715,1650434762,4.00776,8.04111,4.00826,8.03811,30.55036639,29.84963551,30.78119886,30.78973658,27.44807895,1650434762
8.06278277,-50.000763,1650434763,4.0075,8.04036,4.008,8.03736,30.52468062,29.82822596,30.79827347,30.75113953,27.42135042,1650434763
8.06172095,-50.000938,1650434764,4.00726,8.03961,4.0075,8.03625,30.54591473,29.82822596,30.78973658,30.78529707,27.41707292,1650434764
8.06102656,-50.001003,1650434765,4.007,8.03886,4.0075,8.03586,30.53735322,29.81959151,30.78119886,30.77266032,27.41707292,1650434765
8.05999365,-50.00097,1650434766,4.0065,8.03775,4.007,8.03475,30.53735322,29.81095615,30.77675892,30.78119886,27.40352579,1650434766
8.05931097,-50.000986,1650434767,4.00626,8.037,4.00676,8.034,30.54180531,29.81959151,30.78119886,30.77675892,27.44380306,1650434767
