Voltage,Current,Data_Timestamp,dmm_v0,dmm_v1,dmm_v2,dmm_v3,dmm_t0,dmm_t1,dmm_t2,dmm_t3,dmm_t4,Log_Timestamp
8.37575277,0.0,1650568115.6778076,4.178,8.35275,4.1755,8.34936,30.977359033447954,30.82797544838195,30.618824691222585,30.305870745637208,28.113076072293836,1650568116.3184314
8.21803973,-50.000274000000005,1650568117.7246795,4.09624,8.19075,4.09624,8.18775,30.977359033447954,30.83650865767629,30.601715156756313,30.32750219717201,28.126490718544915,1650568118.1934285
8.21046913,-50.000355,1650568118.537178,4.093,8.18436,4.093,8.18061,30.9814482212405,30.84094560217636,30.618824691222585,30.34020383159219,28.108839361326204,1650568119.1621773
8.20243519,-50.000427,1650568119.7403016,4.0895,8.17725,4.0895,8.17425,30.977359033447954,30.823879216253943,30.5887096653006,30.310334827137808,28.095421503299974,1650568120.2559252
8.19803162,-50.000442,1650568120.6309247,4.087,8.17275,4.087,8.16936,30.985877964324345,30.845041046398705,30.610270343343075,30.331621852874434,28.113076072293836,1650568121.2090487
8.19223426,-50.00053,1650568121.802798,4.0845,8.1675,4.0845,8.1645,30.977359033447954,30.84094560217636,30.62293048049861,30.318918943364963,28.10001209807581,1650568122.3965468
8.18393933,-50.000545,1650568123.8340452,4.0805,8.159609999999999,4.080760000000001,8.156609999999999,30.968839293169992,30.82797544838195,30.58460226469873,30.305870745637208,28.117665567872336,1650568124.3809187
8.17674616,-50.000522000000004,1650568125.8184166,4.07726,8.15286,4.07726,8.1495,30.985877964324345,30.84094560217636,30.601715156756313,30.305870745637208,28.130726416065386,1650568126.365291
8.17031655,-50.000545,1650568127.8340387,4.074,8.1465,4.074260000000001,8.1435,30.989966763843086,30.84947756446985,30.605821751032295,30.31445531060149,28.126490718544915,1650568128.3809123
8.16445092,-50.000538,1650568129.8652854,4.0712600000000005,8.14086,4.0715,8.13786,31.002913400563102,30.87063329592513,30.605821751032295,30.28869902452766,28.095421503299974,1650568130.3496602
8.15904344,-50.000648,1650568131.865283,4.0685,8.13525,4.06876,8.13261,30.989966763843086,30.85357261522853,30.610270343343075,30.293164004602772,28.095421503299974,1650568132.3496563
8.15400207,-50.000648,1650568133.9121542,4.066,8.13036,4.066260000000001,8.12775,30.989966763843086,30.85357261522853,30.605821751032295,30.284577296883924,28.117665567872336,1650568134.4277782
8.1501909,-50.000601,1650568135.3496518,4.0645,8.127,4.0645,8.124,30.994396086472022,30.875068536827143,30.593159130771824,30.310334827137808,28.117665567872336,1650568135.9590259
8.14744558,-50.000585,1650568136.7090244,4.063,8.124,4.0632600000000005,8.12136,30.9814482212405,30.85357261522853,30.58015236210815,30.293164004602772,28.113076072293836,1650568137.240274
8.14567749,-50.000513,1650568137.4121485,4.06226,8.1225,4.0625,8.11986,31.002913400563102,30.875068536827143,30.610270343343075,30.28869902452766,28.104249316365213,1650568138.0683985
8.14308913,-50.000625,1650568138.771521,4.06076,8.11986,4.061,8.116859999999999,31.019945607263026,30.85357261522853,30.61437653495335,30.305870745637208,28.104249316365213,1650568139.2871454
8.14139757,-50.000625,1650568139.5215204,4.06026,8.118,4.06026,8.115359999999999,31.019945607263026,30.883597225032645,30.601715156756313,30.293164004602772,28.113076072293836,1650568140.0527701
8.13894099,-50.000656,1650568140.7246432,4.059,8.11575,4.059,8.113109999999999,30.998484498039772,30.86653903111676,30.58460226469873,30.293164004602772,28.091183777289643,1650568141.2558925
8.13733614,-50.000667,1650568141.5683923,4.058,8.11425,4.058260000000001,8.11125,31.002913400563102,30.86210336484453,30.597266128044907,30.280111866971026,28.086592632266502,1650568142.084016
8.13499456,-50.000625,1650568142.7558904,4.057,8.111609999999999,4.05726,8.109,31.011429907269644,30.84947756446985,30.56748600952062,30.26293495432145,28.08235439813575,1650568143.2871394
