Voltage,Current,Data_Timestamp,dmm_v0,dmm_v1,dmm_v2,dmm_v3,dmm_t0,dmm_t1,dmm_t2,dmm_t3,dmm_t4,Log_Timestamp
8.37579421,0.0,1650214496.8969789,4.18,8.353110000000001,4.1775,8.34936,31.656372542761574,30.80680954401896,31.270629157663905,31.626600252957076,28.697900006699058,1650214497.4594784
8.2179466,-50.000011,1650214499.0063503,4.0975,8.19075,4.09724,8.18661,31.630999023526385,30.798273473833376,31.266552991239053,31.639457621142412,28.68914173252955,1650214499.5688508
8.20314821,-50.000136999999995,1650214501.0375974,4.091,8.178,4.091,8.17425,31.651974954564764,30.759680151790178,31.27504480015409,31.64791546067306,28.697900006699058,1650214501.5844712
8.19315286,-50.000113999999996,1650214503.0219693,4.0865,8.16861,4.0865,8.16561,31.651974954564764,30.789736580027693,31.266552991239053,31.64791546067306,28.702103622244806,1650214503.475094
8.18972247,-50.000339,1650214503.6938443,4.085,8.166,4.08526,8.163,31.6732844371827,30.79383439188524,31.266552991239053,31.66043167330929,28.697900006699058,1650214504.115718
8.18496991,-50.000219,1650214505.0375912,4.0825,8.16075,4.0825,8.15775,31.64351747868659,30.776758922514432,31.279120589173772,31.64351747868659,28.702103622244806,1650214505.6157153
8.1792162,-50.000194,1650214506.5063393,4.07976,8.15586,4.08,8.15286,31.66482886805062,30.781198861920416,31.266552991239053,31.64791546067306,28.693345829264672,1650214507.053213
8.1752388,-50.000274000000005,1650214507.8657117,4.0777600000000005,8.15136,4.078,8.14875,31.639457621142412,30.764120950073277,31.25364393468743,31.626600252957076,28.684587033600053,1650214508.3188365
8.17271487,-50.000292,1650214508.6782105,4.0765,8.14875,4.07676,8.14611,31.656372542761574,30.772660318829764,31.266552991239053,31.64351747868659,28.702103622244806,1650214509.1782095
8.16910215,-50.000339,1650214509.8813343,4.07476,8.14536,4.075,8.14275,31.66043167330929,30.772660318829764,31.262136939721643,31.656372542761574,28.684587033600053,1650214510.428208
8.16679869,-50.000259,1650214510.7094572,4.0735,8.14311,4.07376,8.14011,31.66888763556284,30.781198861920416,31.270629157663905,31.66043167330929,28.702103622244806,1650214511.240706
8.16347737,-50.000259,1650214511.8500807,4.072,8.14011,4.07226,8.13711,31.66888763556284,30.764120950073277,31.270629157663905,31.639457621142412,28.68914173252955,1650214512.3344545
8.16134249,-50.000284,1650214512.709454,4.07076,8.13786,4.071,8.13486,31.66043167330929,30.776758922514432,31.270629157663905,31.656372542761574,28.680382455294193,1650214513.1938283
8.15825043,-50.000226999999995,1650214513.8813274,4.0695,8.13486,4.0697600000000005,8.13186,31.6732844371827,30.764120950073277,31.249567012502098,31.656372542761574,28.680382455294193,1650214514.4594514
8.15626439,-50.000267,1650214514.7563257,4.0685,8.13261,4.0685,8.13,31.66482886805062,30.76821995016263,31.266552991239053,31.64351747868659,28.693345829264672,1650214515.3031998
8.15336865,-50.000259,1650214515.9438243,4.067,8.13,4.06726,8.12736,31.66482886805062,30.74703973283181,31.245150141901036,31.651974954564764,28.67582723445628,1650214516.4750733
8.15149912,-50.000284,1650214516.6000736,4.066260000000001,8.1285,4.0665,8.12586,31.656372542761574,30.729955204729322,31.25364393468743,31.639457621142412,28.662860888445607,1650214517.1938221
8.14877118,-50.000259,1650214517.9750712,4.064760000000001,8.12586,4.065,8.12286,31.64791546067306,30.734055793717175,31.232577881488453,31.651974954564764,28.68914173252955,1650214518.4594448
8.14700648,-50.000219,1650214518.7719445,4.06376,8.12361,4.064,8.121,31.64791546067306,30.725512684428452,31.241072841360165,31.63505924503181,28.680382455294193,1650214519.256319
8.14442547,-50.000226999999995,1650214520.0375674,4.0625,8.121,4.06276,8.11836,31.66043167330929,30.738497882980084,31.236655560702047,31.639457621142412,28.667066431038222,1650214520.5375667
8.14030126,-50.000347,1650214521.9906898,4.0605,8.11725,4.06076,8.11425,31.651974954564764,30.725512684428452,31.241072841360165,31.651974954564764,28.654098597240704,1650214522.4438145
8.13870668,-50.000361999999996,1650214522.7719395,4.05976,8.11575,4.06,8.11275,31.656372542761574,30.74703973283181,31.25364393468743,31.63505924503181,28.667066431038222,1650214523.2719386
8.13637071,-50.000322,1650214524.0219364,4.0585,8.1135,4.05876,8.1105,31.64351747868659,30.734055793717175,31.245150141901036,31.639457621142412,28.662860888445607,1650214524.5688107
8.13261758,-50.000307,1650214526.0375586,4.056760000000001,8.109359999999999,4.057,8.10675,31.66888763556284,30.734055793717175,31.236655560702047,31.64791546067306,28.662860888445607,1650214526.6156826
8.12902684,-50.000284,1650214528.0375552,4.055,8.106,4.0552600000000005,8.10336,31.677342841967686,30.738497882980084,31.258060395575,31.64351747868659,28.68914173252955,1650214528.584429
8.12626404,-50.000307,1650214529.506303,4.0537600000000005,8.10375,4.054,8.10111,31.68173925079975,30.725512684428452,31.245150141901036,31.656372542761574,28.667066431038222,1650214530.0063028
8.12424336,-50.000284,1650214530.8969257,4.0525,8.1015,4.05276,8.09886,31.656372542761574,30.74703973283181,31.258060395575,31.677342841967686,28.671622174198035,1650214531.3812997
8.12292594,-50.000292,1650214531.662549,4.052,8.1,4.05226,8.09736,31.651974954564764,30.7169687457004,31.249567012502098,31.66043167330929,28.658304622549792,1650214532.2406735
8.12097975,-50.000322,1650214532.8969226,4.051,8.09811,4.05126,8.09511,31.6732844371827,30.734055793717175,31.279120589173772,31.66043167330929,28.658304622549792,1650214533.5062964
8.11784827,-50.000307,1650214534.8656695,4.0495,8.09511,4.04976,8.09211,31.707099164976796,30.759680151790178,31.270629157663905,31.69019330954376,28.684587033600053,1650214535.4125435
8.11662683,-50.000378999999995,1650214535.6625435,4.048760000000001,8.09361,4.04926,8.091,31.69019330954376,30.759680151790178,31.279120589173772,31.68173925079975,28.680382455294193,1650214536.2250423
8.11482423,-50.000387,1650214536.9594164,4.048,8.09211,4.04826,8.08911,31.711156121931594,30.759680151790178,31.262136939721643,31.69019330954376,28.671622174198035,1650214537.4906654
8.11190197,-50.000370000000004,1650214538.9281628,4.0465,8.08911,4.04676,8.0865,31.698646614055747,30.759680151790178,31.270629157663905,31.70270393250661,28.680382455294193,1650214539.5062866
8.10908554,-50.000387,1650214541.0062847,4.045,8.08611,4.04526,8.0835,31.70270393250661,30.755580754968264,31.283535822979673,31.694250989798206,28.662860888445607,1650214541.5062838
8.10635463,-50.000402,1650214542.9281569,4.04376,8.08386,4.044,8.08086,31.72400200860841,30.742598074250907,31.283535822979673,31.68173925079975,28.667066431038222,1650214543.4281561
8.10528827,-50.000347,1650214543.8031554,4.04326,8.08236,4.0435,8.07975,31.698646614055747,30.772660318829764,31.270629157663905,31.69019330954376,28.680382455294193,1650214544.4125302
