,polyline_point_index,latitude,longitude,trip(m),dist_to_next_coordinate(m),true_bearing_to_next,bearing_to_next_360,true_bearing_to_prev,bearing_to_prev_360,general_travel_direction,turn_bearing,turn_type,relative_turn_angle,elevation(m),elevation_gains_to_next(m),landmarks_notes,speed_limit(m/s),shoulder,step,routebook_trip(m),MajorTurns/Instructions,lanes,services
39,,40.88793428776495,-98.37273533364328,798.9998332061901,23.65133490668544,90.81793018739558,90.81793018739558,-89.18206981210102,270.817930187899,S1°E,0.0001836801700108026,,,543,0.0,,20.1168,paved ,BL 3 ,804.672,TURN RIGHT at Stop Sign onto Husker Hwy/US-34 Eastbound ,1,
40,,40.887931247174734,-98.37245472593376,822.6511681128756,23.65133490779363,90.81811387201348,90.81811387201348,-89.18188613195909,270.8181138680409,S1°E,0.0001836846179088525,,,543,0.0,,,,,,,,
41,,40.887928205901815,-98.37217411824993,846.3025030206692,23.651334906868936,90.81829754989687,90.81829754989687,-89.18170244736925,270.8182975526307,S1°E,0.00018367788338480295,,,543,0.0,,,,,,,,
42,,40.88792516394621,-98.3718935105918,869.9538379275381,23.65133490649548,90.81848122774726,90.81848122774726,-89.18151876951394,270.81848123048604,S1°E,0.0001836778503871983,,,543,0.0,,,,,,,,
43,,40.88792212130791,-98.37161290295938,893.6051728340335,23.651334906651147,90.81866490782325,90.81866490782325,-89.18133509169165,270.81866490830834,S1°E,0.00018368007599178782,,,543,0.0,,,,,,,,
44,,40.887919077986915,-98.37133229535267,917.2565077406847,23.651334907291773,90.81884859465012,90.81884859465012,-89.18115141164375,270.8188485883562,S1°E,0.00018368682687253113,,,543,0.0,,,,,,,,
45,,40.88791603398321,-98.37105168777167,940.9078426479765,23.651334907158418,90.81903227244108,90.81903227244108,-89.18096772484498,270.819032275155,S1°E,0.00018367779095740389,,,543,-1.0,,,,,,,,
46,,40.887912989296815,-98.37077108021639,964.559177555135,23.65133490755424,90.8192159524574,90.8192159524574,-89.18078404708213,270.8192159529179,S1°E,0.00018368001632040887,,,542,0.0,,,,,,,,
47,,40.88790994392773,-98.37049047268683,988.2105124626892,23.651334907198176,90.81939963474429,90.81939963474429,-89.18060036709392,270.8193996329061,S1°E,0.0001836822868881427,,,542,0.0,,,,,,,,
48,,40.88790689787594,-98.370209865183,1011.8618473698873,23.65133490613443,90.81958331025452,90.81958331025452,-89.18041668483515,270.81958331516483,S1°E,0.00018367551022890893,,,542,1.0,,,,,,,,
49,,40.88790385114147,-98.36992925770492,1035.5131822760218,23.651334908029252,90.81976699695483,90.81976699695483,-89.18023300935306,270.81976699064694,S1°E,0.00018368670031065903,,,543,0.0,,,,,,,,
50,,40.88790080372429,-98.36964865025257,1059.164517184051,23.651334906742782,90.81995067243815,90.81995067243815,-89.18004932268087,270.8199506773191,S1°E,0.00018367548332776096,,,543,0.0,,,,,,,,
51,,40.88789775562442,-98.36936804282598,1082.8158520907937,23.651334907156002,90.82013435463053,90.82013435463053,-89.17986564722568,270.8201343527743,S1°E,0.000183682192371748,,,543,1.0,,,,,,,,
52,,40.887894706841855,-98.36908743542514,1106.4671869979497,23.651334906861486,90.8203180345699,90.8203180345699,-89.17968196506146,270.8203180349385,S1°E,0.00018367993936863058,,,544,0.0,,,,,,,,
53,,40.8878916573766,-98.36880682805007,1130.1185219048111,23.6513349070299,90.82050171447514,90.82050171447514,-89.17949828515025,270.82050171484974,S1°E,0.00018367990524836841,,,544,1.0,RR track ,22.352,,BL 4 ,1126.5408,,,
54,17.0,40.887888607228646,-98.36852622070076,1153.769856811841,24.414051974641374,92.73409291956035,92.73409291956035,-89.17931460527316,270.82068539472687,S3°E,1.9135912050852113,Slight Right,1.9135912050852113,545,-1.0,,,,,,,,
55,,40.88787812013063,-98.36823686432243,1178.1839087864823,24.4140519738857,92.73428232831272,92.73428232831272,-87.26571767326523,272.7342823267348,S3°E,0.00018940875236239663,,,544,-1.0,,,,,,,,
56,,40.88786763230667,-98.36794750803547,1202.597960760368,24.414051974763396,92.73447173024184,92.73447173024184,-87.26552826461273,272.7344717353873,S3°E,0.0001894019291199811,,,543,0.0,,,,,,,,
57,,40.88785714375677,-98.36765815183988,1227.0120127351315,24.41405197409406,92.73466114544203,92.73466114544203,-87.26533886278345,272.73466113721656,S3°E,0.00018941520019666314,,,543,-1.0,,,,,,,,
58,,40.88784665448091,-98.36736879573567,1251.4260647092256,24.41405197452807,92.73485054290029,92.73485054290029,-87.26514944768311,272.73485055231686,S3°E,0.00018939745825719,,,542,0.0,,,,,,,,
59,,40.887836164479126,-98.36707943972284,1275.8401166837536,24.414051973724177,92.73503995799695,92.73503995799695,-87.26496005032473,272.7350399496753,S3°E,0.00018941509665637568,,,542,0.0,,,,,,,,
60,,40.88782567375138,-98.36679008380142,1300.2541686574777,24.414051974376775,92.73522936190196,92.73522936190196,-87.26477063532795,272.735229364672,S3°E,0.00018940390501143156,,,542,0.0,,,,,,,,
61,,40.887815182297686,-98.36650072797138,1324.6682206318546,24.4140519743218,92.73541876802443,92.73541876802443,-87.26458123152281,272.7354187684772,S3°E,0.00018940612247320132,,,542,0.0,,,,,,,,
62,,40.88780469011806,-98.36621137223275,1349.0822726061765,24.414051974840085,92.73560817400698,92.73560817400698,-87.26439182550024,272.73560817449976,S3°E,0.0001894059825531258,,,542,0.0,,,,,,,,
63,,40.887794197212486,-98.36592201658553,1373.4963245810166,24.414051974606306,92.73579758001783,92.73579758001783,-87.26420241961758,272.73579758038244,S3°E,0.00018940601084693753,,,542,0.0,,,,,,,,
64,,40.88778370358097,-98.36563266102972,1397.9103765556229,24.414051973973926,92.7359869860312,92.7359869860312,-87.26401301370663,272.73598698629337,S3°E,0.00018940601336225882,,,542,0.0,,,,,,,,
65,,40.88777320922351,-98.36534330556535,1422.3244285295968,24.414051974798237,92.73617639618274,92.73617639618274,-87.26382360779317,272.73617639220686,S3°E,0.00018941015154894103,,,542,0.0,,,,,,,,
66,,40.88776271414011,-98.36505395019239,1446.738480504395,24.414051973722124,92.73636579773387,92.73636579773387,-87.26363419774154,272.73636580225843,S3°E,0.00018940155112545654,,,542,0.0,,,,,,,,
67,,40.88775221833077,-98.36476459491088,1471.152532478117,24.414051974544325,92.73655520558103,92.73655520558103,-87.26344479629034,272.73655520370966,S3°E,0.00018940784715937298,,,542,0.0,,,,,,,,
68,,40.88774172179548,-98.3644752397208,1495.5665844526613,24.414051974614654,92.73674461126102,92.73674461126102,-87.26325538854312,272.73674461145686,S3°E,0.00018940567998981805,,,542,0.0,,,,,,,,
69,,40.88773122453426,-98.36418588462217,1519.980636427276,24.414051974109675,92.73693401694705,92.73693401694705,-87.26306598296306,272.73693401703696,S3°E,0.0001894056860294313,,,542,0.0,,,,,,,,
70,,40.88772072654709,-98.363896529615,1544.3946884013858,24.414051975282234,92.73712342238844,92.73712342238844,-87.26287657737697,272.73712342262303,S3°E,0.00018940544138956739,,,542,0.0,,,,,,,,
71,,40.887710227833985,-98.36360717469928,1568.808740376668,24.414051973317548,92.73731282811895,92.73731282811895,-87.26268717203553,272.7373128279645,S3°E,0.00018940573050940657,,,542,0.0,,,,,,,,
72,,40.88769972839494,-98.36331781987505,1593.2227923499856,24.414051974267213,92.73750223345667,92.73750223345667,-87.26249776640499,272.737502233595,S3°E,0.00018940533772138224,,,542,0.0,,,,,,,,
73,,40.887689228229966,-98.36302846514228,1617.636844324253,24.414051974641545,92.7376916431837,92.7376916431837,-87.26230836116721,272.73769163883276,S3°E,0.00018940972702807812,,,542,0.0,,,,,,,,
74,,40.88767872733903,-98.36273911050098,1642.0508962988945,24.41405197435231,92.73788104197537,92.73788104197537,-87.26211895154016,272.7378810484598,S3°E,0.0001893987916758988,,,542,-1.0,,,,,,,,
75,,40.88766822572218,-98.36244975595118,1666.4649482732468,24.414051974547924,92.73807044941081,92.73807044941081,-87.26192955284846,272.73807044715153,S3°E,0.00018940743544249017,,,541,-1.0,,,,,,,,
76,,40.88765772337939,-98.36216040149286,1690.8790002477947,24.414051973373162,92.7382598525631,92.7382598525631,-87.261740145513,272.738259854487,S3°E,0.000189403152290879,,,540,1.0,,,,,,,,
77,,40.88764722031066,-98.36187104712604,1715.293052221168,24.41405197414102,92.73844926200465,92.73844926200465,-87.26155074246073,272.7384492575393,S3°E,0.00018940944154621775,,,541,1.0,,,,,,,,
78,,40.887636716515985,-98.36158169285073,1739.707104195309,24.41405197459855,92.73863866265901,92.73863866265901,-87.26136133311915,272.73863866688083,S3°E,0.0001894006543636806,,,542,0.0,,,,,,,,
