polyline_point_index,latitude,longitude,trip(m),dist_to_next_coordinate(m),true_bearing_to_next,bearing_to_next_360,true_bearing_to_prev,bearing_to_prev_360,general_travel_direction,turn_bearing,turn_type,relative_turn_angle,checkpoint
0.0,43.46786317655638,-80.56637564010215,0.0,24.897749007573704,64.49217467967063,64.49217467967063,,,N64°E,,,,0
,43.46795968069304,-80.56609794564804,24.897749007573704,24.89774900610517,64.4923657207851,64.4923657207851,-115.5076342809237,244.4923657190763,N64°E,0.0001910411144763,,,0
,43.46805618415369,-80.56582025031035,49.79549801367887,24.897749007817257,64.49255675705152,64.49255675705152,-115.50744323886192,244.49255676113808,N64°E,0.0001910362664148,,,0
,43.46815268693833,-80.5655425540891,74.69324702149613,24.89774900705276,64.49274779767657,64.49274779767657,-115.5072522016482,244.4927477983518,N64°E,0.0001910406250544,,,0
,43.46824918904696,-80.56526485698427,99.59099602854889,24.897749007702632,64.4929388421026,64.4929388421026,-115.50706116007584,244.49293883992416,N64°E,0.0001910444260317,,,0
,43.46834569047955,-80.56498715899585,124.48874503625152,24.897749007644222,64.49312988453238,64.49312988453238,-115.50687011470248,244.49312988529752,N64°E,0.0001910424297761,,,0
,43.468442191236136,-80.56470946012385,149.38649404389574,24.89774900652349,64.49332093459317,64.49332093459317,-115.5066790713254,244.49332092867465,N64°E,0.000191050060792,,,0
,43.46853869131667,-80.5644317603683,174.28424305041924,24.89774900787764,64.49351197180815,64.49351197180815,-115.5064880203173,244.4935119796827,N64°E,0.0001910372149751,,,0
,43.46863519072118,-80.56415405972916,199.18199205829688,24.897749008523373,64.49370301893318,64.49370301893318,-115.50629698215502,244.4937030178449,N64°E,0.0001910471250283,,,0
,43.468731689449655,-80.56387635820644,224.07974106682025,24.89774900669357,64.49389407033759,64.49389407033759,-115.50610593408268,244.4938940659173,N64°E,0.0001910514044141,,,0
,43.46882818750207,-80.56359865580016,248.97749007351385,24.89774900839779,64.49408511739627,64.49408511739627,-115.505914881731,244.49408511826903,N64°E,0.0001910470586778,,,0
,43.46892468487844,-80.5633209525103,273.8752390819116,24.89774900656653,64.49427616286188,64.49427616286188,-115.505723833725,244.494276166275,N64°E,0.0001910454656126,,,0
,43.46902118157877,-80.56304324833687,298.77298808847814,24.897749005441053,64.49446721489593,64.49446721489593,-115.50553278731208,244.4944672126879,N64°E,0.0001910520340544,,,0
,43.46911767760303,-80.56276554327988,323.6707370939192,24.89774900926304,64.49465826517172,64.49465826517172,-115.50534173433074,244.49465826566927,N64°E,0.000191050275788,,,0
,43.46921417295123,-80.56248783733929,348.5684861031822,24.897749008134475,64.49484931786357,64.49484931786357,-115.50515068310764,244.4948493168924,N64°E,0.0001910526918464,,,0
,43.46931066762337,-80.56221013051514,373.4662351113167,24.89774900630045,64.49504036831507,64.49504036831507,-115.5049596294685,244.4950403705315,N64°E,0.0001910504515052,,,0
,43.46940716161944,-80.56193242280743,398.3639841176171,24.897749008352065,64.49523142320949,64.49523142320949,-115.5047685780697,244.4952314219303,N64°E,0.0001910548944152,,,0
,43.46950365493943,-80.56165471421613,423.2617331259692,24.89774900757484,64.49542247578694,64.49542247578694,-115.50457752222798,244.495422477772,N64°E,0.0001910525774491,,,0
,43.46960014758335,-80.56137700474127,448.159482133544,24.897749006090432,64.49561353533826,64.49561353533826,-115.50438646870325,244.49561353129675,N64°E,0.0001910595513265,,,0
,43.46969663955117,-80.56109929438284,473.0572311396344,24.89774900743274,64.49580459118108,64.49580459118108,-115.50419540820462,244.4958045917953,N64°E,0.0001910558428193,,,0
,43.46979313084291,-80.56082158314084,497.9549801470672,24.89774900735934,64.49599564604479,64.49599564604479,-115.50400435141452,244.4959956485855,N64°E,0.0001910548637056,,,0
,43.46988962145856,-80.56054387101527,522.8527291544265,24.897749008699783,64.49618670308115,64.49618670308115,-115.50381329560352,244.49618670439648,N64°E,0.0001910570363605,,,0
,43.46998611139812,-80.56026615800613,547.7504781631262,24.897749006505244,64.49637776614466,64.49637776614466,-115.50362223761988,244.4963777623801,N64°E,0.0001910630635109,,,0
,43.47008260066157,-80.55998844411343,572.6482271696315,24.897749008195227,64.49656882697931,64.49656882697931,-115.50343117360909,244.49656882639093,N64°E,0.000191060834652,,,0
,43.47017908924892,-80.55971072933714,597.5459761778267,24.897749006704725,64.49675988489317,64.49675988489317,-115.50324011182713,244.49675988817287,N64°E,0.0001910579138524,,,0
,43.47027557716015,-80.5594330136773,622.4437251845314,24.89774900804136,64.4969509492518,64.4969509492518,-115.503049052966,244.496950947034,N64°E,0.0001910643586313,,,0
,43.47037206439527,-80.55915529713388,647.3414741925728,24.897749006548384,64.49714201043058,64.49714201043058,-115.50285798766006,244.49714201234,N64°E,0.000191061178782,,,0
,43.47046855095428,-80.55887757970692,672.2392231991212,24.897749006822924,64.49733307457092,64.49733307457092,-115.50266692553402,244.497333074466,N64°E,0.0001910641403384,,,0
,43.47056503683716,-80.55859986139637,697.1369722059441,24.897749008156904,64.4975241425502,64.4975241425502,-115.5024758604464,244.4975241395536,N64°E,0.0001910679792871,,,0
,43.47066152204391,-80.55832214220226,722.034721214101,24.89774900772116,64.49771520421352,64.49771520421352,-115.5022847915198,244.4977152084802,N64°E,0.0001910616633153,,,0
,43.470758006574535,-80.55804442212458,746.9324702218221,24.89774900763865,64.49790627358485,64.49790627358485,-115.50209372890922,244.4979062710908,N64°E,0.0001910693713256,,,0
,43.47085449042902,-80.55776670116333,771.8302192294608,24.89774900790838,64.49809734031065,64.49809734031065,-115.5019026585906,244.4980973414094,N64°E,0.0001910667258044,,,0
