latitude,longitude,route_model_index,last_updated,forecast_time
43.46786317655638,-80.56637564010215,0,,
43.47181929178542,-80.55498944295489,41,,
43.47567782098289,-80.54387952656383,81,,
43.47953526800491,-80.53276819650009,121,,
43.48532332236007,-80.52733698515767,162,,
43.49079136987552,-80.53590572263501,205,,
43.49414882508247,-80.54735874761738,246,,
